air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,air_genre_name,air_area_name
air_6d65dd11d96e00fb,433,39,0.8815556059917394,0.8815556059917394,146.2332112332112,0.5300417874728177,0.5300417874728177,46.861091883927095,930.6021324980592,SARIMA no exog,0.529079411783159,0.5291107684619522,46.83842260969032,932.0978388086758,ARIMAX holiday only,Cafe/Sweets,Hokkaidō Katō-gun Motomachi
air_0382c794b73b51ad,431,39,0.9586309097898055,0.9586309097898055,42.772557247027734,0.8755102866033521,0.8755102866033521,66.92562183141762,866.0242068706731,SARIMA no exog,0.8766820709320325,0.8766820709320325,65.99087431667748,866.4762421584304,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Setagaya-ku Okusawa
air_1408dd53f31a8a65,257,39,0.749572778880071,0.749572778880071,109.35060262914358,0.6561004938647779,0.6561004938647779,90.12487546498042,433.3447881418128,SARIMA no exog,0.6513136570825758,0.6513136570825758,89.74561942603407,430.81012136852354,ARIMAX holiday only,Izakaya,Hokkaidō Asahikawa-shi 6 Jōdōri
air_43b65e4b05bff2d3,257,39,0.3716179111484376,0.3716179111484376,28.668170040719914,0.31495567789087425,0.31495567789087425,25.42869157734543,218.4655441637915,SARIMA no exog,0.30800767198234824,0.30800767198234824,25.545717719660143,219.61833361588543,ARIMAX holiday only,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō
air_61b8d37c33617f21,257,39,0.4602211256834445,0.4602211256834445,42.51206082274879,0.3262704965034137,0.3262704965034137,27.69050798034528,211.46365239706006,SARIMA no exog,0.3253399260506985,0.3253399260506985,27.397921580250934,192.7970869261083,ARIMAX holiday only,Izakaya,Fukuoka-ken Kitakyūshū-shi None
air_8f273fb9ad2fed6f,257,39,1.1665412046227859,1.1665412046227859,70.48094770213665,0.8266961933956853,0.8266961933956853,82.85054099133896,397.80713152853133,SARIMA no exog,0.8433043622908956,0.8433043622908956,90.66795890076102,396.466067437681,ARIMAX holiday only,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Kyūtarōmachi
air_9b6af3db40da4ae2,257,39,0.44679323368229074,0.44679323368229074,44.92348321696421,0.3245010263681686,0.3245010263681686,27.96303675782246,259.80776264029674,SARIMA no exog,0.32454140352254063,0.32454140352254063,27.902550748904154,261.43902982096324,ARIMAX holiday only,Izakaya,Niigata-ken Nagaoka-shi Ōtedōri
air_a271c9ba19e81d17,257,39,0.5366640952682111,0.5366640952682111,42.63409970673567,0.41056300125928286,0.41056300125928286,34.64206843891925,326.3219489907922,SARIMA no exog,0.410092273680808,0.410092273680808,34.88089821816136,327.86566287535726,ARIMAX holiday only,Izakaya,Tōkyō-to Meguro-ku Kamimeguro
air_f927b2da69a82341,436,39,0.5933992910956566,0.5933992910956566,54.389655928117456,0.47042248172210877,0.47042248172210877,42.218908185831886,1017.2454261496906,SARIMA no exog,0.4739469287221451,0.4739491468811665,41.85944705643416,1017.5954410346772,ARIMAX holiday only,Okonomiyaki/Monja/Teppanyaki,Hyōgo-ken Kōbe-shi Kumoidōri
air_9bbc673495e23532,435,39,1.032125925532068,1.032125925532068,108.58974358974358,0.7648290003091465,0.7649365286807304,88.38300674089827,1099.4601363261927,SARIMA no exog,0.7578643295259496,0.758591884955214,86.2613852679849,1051.111611738502,ARIMAX holiday only,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Fuminosato
air_28064154614b2e6c,257,39,0.7932400606969524,0.7932400606969524,72.75743261611855,0.5677384096407383,0.5677384096407383,58.52727756375613,413.93864600226755,SARIMA no exog,0.5709286412971635,0.5709286412971635,57.92039857702464,415.46599245325666,ARIMAX holiday only,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō
air_55e11c33d4758131,257,39,0.4857595300424842,0.4857595300424842,51.74218950032486,0.4337491816164037,0.4337491816164037,38.094435713340715,369.9337013562555,SARIMA no exog,0.4260500621392472,0.4260500621392472,37.9457471561587,370.86928444816544,ARIMAX holiday only,Japanese food,Tōkyō-to Toshima-ku Minamiikebukuro
air_bc9a129e11a2efe0,257,39,0.3709921025679994,0.3709921025679994,34.00559430797177,0.3110970054633711,0.3110970054633711,25.939918356716372,303.2810197891283,SARIMA no exog,0.30909099511152716,0.30909099511152716,25.915947369656916,304.9110707489264,ARIMAX holiday only,Izakaya,Ōsaka-fu Ōsaka-shi Shinmachi
air_ca6ae8d49a2f1eaf,257,39,0.692796648566081,0.692796648566081,88.64786324511653,0.5299446899158262,0.5299446899158262,59.29121836334633,491.8209139565334,SARIMA no exog,0.5303263071723637,0.5303263071723637,59.98284595016248,499.8772378786085,ARIMAX holiday only,Izakaya,Fukuoka-ken Fukuoka-shi Hakata Ekimae
air_e1b76fcb5208fb6b,257,39,0.37590102400327097,0.37590102400327097,23.662358277147515,0.4355450828755326,0.4355450828755326,27.48640926069907,61.32556573359496,SARIMA no exog,2.531672160058411,1.9159953841515638e+98,109.67646643134856,484344.8379004382,ARIMAX holiday only,Dining bar,Tōkyō-to Shibuya-ku Shibuya
air_eeeadee005c006a2,257,39,0.6929786506925891,0.6929786506925891,55.27039351829415,0.41771871319736925,0.41771871319736925,35.581341408406495,384.84836740501413,SARIMA no exog,0.4179550428246972,0.4179550428246972,35.329394635563474,385.8689939039639,ARIMAX holiday only,Dining bar,Tōkyō-to Shinagawa-ku Hiromachi
air_07b314d83059c4d2,257,39,0.27045292022241857,0.27045292022241857,21.58721851500884,0.2468712461473762,0.2468712461473762,19.775928044494766,343.9795649038932,SARIMA no exog,0.23322585493721454,0.23322585493721454,19.230712030724952,342.3535939822614,ARIMAX holiday only,Okonomiyaki/Monja/Teppanyaki,Ōsaka-fu Ōsaka-shi Ōgimachi
air_32c61b620a766138,257,39,0.39451914695553714,0.39451914695553714,33.9075926787499,0.3966982185235481,0.3966982185235481,27.93640148198735,370.502667629902,SARIMA no exog,0.3967650705696368,0.3967650705696368,27.807761461251385,372.15632859468667,ARIMAX holiday only,Dining bar,Hokkaidō Sapporo-shi Kita 24 Jōnishi
air_49211568cab5fdee,257,39,0.5616137096720852,0.5616137096720852,43.98385016940844,0.5627440422138996,0.5627440422138996,55.91103347414208,375.81366981682083,SARIMA no exog,0.5627485578298504,0.5627485578298504,55.906565944769746,377.81200233750496,ARIMAX holiday only,Bar/Cocktail,Tōkyō-to Shibuya-ku Dōgenzaka
air_97958e7fce98b6a3,257,39,0.7111550298688353,0.7111550298688353,92.60127603168112,0.574763900466594,0.574763900466594,59.87378391200542,503.25465732855315,SARIMA no exog,0.5697286087739949,0.5697286087739949,59.78975826066465,504.5069259121957,ARIMAX holiday only,Dining bar,Tōkyō-to Shibuya-ku Shibuya
air_a510dcfe979f09eb,257,39,0.8691065159146332,0.8691065159146332,92.40954536539775,0.43542521077454827,0.43542521077454827,39.973440517104976,467.83211427213996,SARIMA no exog,0.43147145605104315,0.43147145605104315,39.15256341364407,468.52965736993326,ARIMAX holiday only,Bar/Cocktail,Tōkyō-to Shinjuku-ku Kabukichō
air_de803f7e324936b8,257,39,0.5955657130999099,0.5955657130999099,74.30066849627454,0.45337180306771985,0.45337180306771985,47.05258982166416,462.39184240419775,SARIMA no exog,0.4525784825120685,0.4525784825120685,47.07337294468579,464.3786848956569,ARIMAX holiday only,Japanese food,Hokkaidō Sapporo-shi Minami 3 Jōnishi
air_f957c6d6467d4d90,257,39,0.6963206472530363,0.6963206472530363,123.31487526920964,0.6325982609853761,0.6325982609853761,92.89826992365724,398.62614020533096,SARIMA no exog,0.6314592471325448,0.6314592471325448,92.04812838650554,399.50191415061545,ARIMAX holiday only,Bar/Cocktail,Tōkyō-to Setagaya-ku Setagaya
air_168441ada3e878e1,257,39,0.637925626585795,0.637925626585795,102.0648663661086,0.55377713778603,0.55377713778603,72.11690221709203,398.86762595034475,SARIMA no exog,0.5484373203639449,0.5484373203639449,70.30893728387719,393.5294890346685,ARIMAX holiday only,Cafe/Sweets,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi
air_349278fa964bb12f,257,39,0.30043505789430447,0.30043505789430447,29.634828821656438,0.2532200437982227,0.2532200437982227,23.90347393846706,225.95075355825776,SARIMA no exog,0.25676897040010976,0.25676897040010976,23.609743989325217,224.85229955533853,ARIMAX holiday only,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō
air_414ff459ed18fa48,257,39,0.6672362839567553,0.6672362839567553,47.35207013317025,0.4340126264652061,0.4340126264652061,38.995945325428124,384.23569686342836,SARIMA no exog,0.43498601782014207,0.43498601782014207,39.34099007109686,386.2966734340109,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Meguro-ku Jiyūgaoka
air_6607fe3671242ce3,257,39,0.40146775110420413,0.40146775110420413,31.71700788038209,0.3934664000111118,0.3934664000111118,31.890022474524628,353.6167122164145,SARIMA no exog,0.3665516580652388,0.3665516580652388,30.283630134247524,348.49578376519173,ARIMAX holiday only,Izakaya,Tōkyō-to Chūō-ku Tsukiji
air_848616680ef061bd,257,39,0.3554757148190025,0.3554757148190025,31.946795613859003,0.26567036194424803,0.26567036194424803,21.767977168777357,323.5162711923558,SARIMA no exog,0.2615907488656493,0.2615907488656493,22.242257047741525,320.87048963502923,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Suginami-ku Asagayaminami
air_8c3175aa5e4fc569,257,39,0.5006209405259971,0.5006209405259971,53.13874858262133,0.44066353685086734,0.44066353685086734,36.80336435299639,375.4143429033605,SARIMA no exog,0.4332529299282503,0.4332529299282503,36.026790188507476,375.8661654914516,ARIMAX holiday only,Bar/Cocktail,Tōkyō-to Toshima-ku Nishiikebukuro
air_8cc350fd70ee0757,257,39,0.38616039783787826,0.38616039783787826,36.399965299361696,0.33670905090967723,0.33670905090967723,25.71762516787554,361.30437994544184,SARIMA no exog,0.34243399643328765,0.34243399643328765,25.355094521681764,353.99729716230945,ARIMAX holiday only,Izakaya,Hyōgo-ken Amagasaki-shi Higashinanamatsuchō
air_8e4360a64dbd4c50,257,39,0.41858209314574646,0.41858209314574646,42.724705285667156,0.29588205637068277,0.29588205637068277,23.376230619942724,271.2261099314357,SARIMA no exog,0.2936171751306704,0.2936171751306704,23.146233968568332,256.94897137390825,ARIMAX holiday only,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōgimachi
air_8f3b563416efc6ad,257,39,0.48061329281496823,0.48061329281496823,39.73270823363236,0.27615334304781625,0.27615334304781625,23.859693454119387,312.6152534503245,SARIMA no exog,0.2784752418292374,0.2784752418292374,24.29594734051085,313.1362416273349,ARIMAX holiday only,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō
air_a7404a854919e990,257,39,0.620981155720554,0.620981155720554,73.55873973521032,0.4948175593250938,0.4948175593250938,61.627861856287645,383.2454758136491,SARIMA no exog,0.49288340266920827,0.49288340266920827,61.21390268325821,384.1807277114921,ARIMAX holiday only,Italian/French,Fukuoka-ken Fukuoka-shi Daimyō
air_c3dcaf3aeb18e20e,257,39,0.4903556595996803,0.4903556595996803,37.13441074183711,0.42871016073170864,0.42871016073170864,42.35289924552125,281.50092461720544,SARIMA no exog,0.42904947157255346,0.42904947157255346,42.372736672320485,283.4862285708457,ARIMAX holiday only,Bar/Cocktail,Tōkyō-to Toshima-ku Higashiikebukuro
air_dc0e080ba0a5e5af,257,39,0.5632493388290054,0.5632493388290054,67.57511007511008,0.4046018735485384,0.4046018735485384,40.833292808210444,402.3720223099109,SARIMA no exog,0.4068679014010904,0.4068679014010904,40.99497441300318,404.18099192939405,ARIMAX holiday only,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi
air_eca5e0064dc9314a,257,39,0.6299966186654071,0.6299966186654071,88.86572547970718,0.585414347532283,0.585414347532283,62.7893921033668,397.9990702898915,SARIMA no exog,0.5812479177959026,0.5812479177959026,62.066109592761975,395.54941833032467,ARIMAX holiday only,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō
air_f2985de32bb792e0,257,39,0.5875310587340786,0.5875310587340786,64.7681926934497,0.4876211884100103,0.4876211884100103,35.128831491665444,474.9186177819579,SARIMA no exog,0.48604204656179584,0.48604204656179584,35.677170395200726,474.9377331092045,ARIMAX holiday only,Izakaya,Tōkyō-to Ōta-ku Kamata
air_0b9038300f8b2b50,257,39,0.6347941560751469,0.6347941560751469,68.03266806208805,0.5541266092532077,0.5541266092532077,50.740082480484496,447.226754744961,SARIMA no exog,0.5542068207712577,0.5542068207712577,50.762807783165584,449.22609613621216,ARIMAX holiday only,Italian/French,Tōkyō-to Setagaya-ku Setagaya
air_10bbe8acd943d8f6,257,39,0.8568466888321399,0.8568466888321399,89.53525052956115,0.6832646060532893,0.6832646060532893,48.923537033106626,500.3006072058895,SARIMA no exog,0.6858373650983837,0.6858373650983837,49.70529331798383,494.73765959027213,ARIMAX holiday only,Asian,Tōkyō-to Shibuya-ku Shibuya
air_12c4fb7a423df20d,257,39,0.4585397004931413,0.4585397004931413,47.59018248906685,0.489637288748473,0.489637288748473,42.297488476469965,463.87436031500164,SARIMA no exog,0.4891705934276371,0.4891705934276371,42.27219430591461,465.85696940492517,ARIMAX holiday only,Western food,Tōkyō-to Shibuya-ku Shibuya
air_20add8092c9bb51d,257,39,0.6516936477632895,0.6516936477632895,76.16706468546369,0.5644811194163886,0.5644811194163886,57.08250381025546,553.7968408629317,SARIMA no exog,0.5611535828492201,0.5611535828492201,56.1786080826152,554.6443874850438,ARIMAX holiday only,Dining bar,Shizuoka-ken Hamamatsu-shi Motoshirochō
air_464a62de0d57be1e,257,39,0.6024381438581216,0.6024381438581216,80.76466126286306,0.29887806981928816,0.29887806981928816,28.806981608153297,286.7649236372813,SARIMA no exog,0.29640499421390587,0.29640499421390587,28.50327505497141,288.67738690643495,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Chūō-ku Tsukiji
air_4b380b4db9d37883,257,39,0.6012386392667284,0.6012386392667284,52.555075357703075,0.5434822283053076,0.5434822283053076,51.55095134856879,439.5984221512164,SARIMA no exog,0.5281393213432103,0.5281393213432103,51.18125250270844,437.41135794972627,ARIMAX holiday only,Dining bar,Fukuoka-ken Fukuoka-shi Tenjin
air_629d9935273c82ae,257,39,0.6468965548074235,0.6468965548074235,63.387423739562465,0.5117352484652093,0.5117352484652093,44.61182332889892,447.3804136638039,SARIMA no exog,0.5100948161413007,0.5100948161413007,44.17282211655802,443.1243589072217,ARIMAX holiday only,Izakaya,Shizuoka-ken Shizuoka-shi Ōtemachi
air_84060403939d8216,257,39,0.5045670419117542,0.5045670419117542,61.86520087121229,0.43155269835684407,0.43155269835684407,44.32528912256149,321.90877112928473,SARIMA no exog,0.4430292504164926,0.4430292504164926,44.86811202863218,316.8516595225321,ARIMAX holiday only,Dining bar,Tōkyō-to Nerima-ku Toyotamakita
air_8523d6a70de49e6c,257,39,0.9337523108548282,0.9337523108548282,230.98335725276198,0.7846570902295201,0.7846570902295201,143.11530901507922,443.82517887824395,SARIMA no exog,0.785954027962739,0.785954027962739,144.20124358388267,444.63531793763104,ARIMAX holiday only,Izakaya,Fukuoka-ken Fukuoka-shi Hakata Ekimae
