air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,air_genre_name,air_area_name,delta_sarima_vs_naive,delta_holiday_arimax_vs_naive,delta_holiday_arimax_vs_sarima
air_8093d0b565e9dbdf,434,39,0.3191531411031448,0.3191531411031448,28.589623018105986,0.282655162341493,0.282655162341493,23.654973318721815,525.3164335123229,SARIMA no exog,0.2741469906013787,0.2741469906013787,23.433622386892885,501.14434180814465,SARIMAX holiday only,Yakiniku/Korean food,Tōkyō-to Chūō-ku Ginza,0.036497978761651784,0.045006150501766096,0.008508171740114312
air_de88770300008624,438,39,0.610462971039539,0.610462971039539,80.3422253911098,0.5905736478298215,0.5905736478298215,71.48333560970325,973.4488990043448,SARIMA no exog,0.5956852792231264,0.5956852792231264,73.22771413134201,969.8786626165279,SARIMAX holiday only,Izakaya,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,0.01988932320971748,0.01477769181641253,-0.0051116313933049495
air_3e6cea17a9d2c0f1,436,39,0.5828155845937469,0.5828155845937469,68.22235262369196,0.569693224639456,0.569693224639456,49.75135157248475,889.8860284537052,SARIMA no exog,0.5708513271870794,0.5708513271870794,48.743771675678005,887.3217653757017,SARIMAX holiday only,Izakaya,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,0.013122359954290896,0.011964257406667511,-0.0011581025476233853
air_f26f36ec4dc5adb0,439,39,0.30310967139573664,0.30310967139573664,23.779145042133926,0.24062315806000886,0.24062315806000886,18.453683905736412,784.1492392875956,SARIMA no exog,0.24792379919763763,0.24792379919763763,18.968104283031238,783.1853447667881,SARIMAX holiday only,Izakaya,Tōkyō-to Shinjuku-ku Kabukichō,0.06248651333572777,0.055185872198099006,-0.007300641137628766
air_a55d17bd3f3033cb,436,39,1.0059565309984013,1.0059565309984013,166.6548579427241,0.7769330138226738,0.7769330138226738,111.86738010896482,791.7611343224852,SARIMA no exog,0.7861126540870957,0.7861126540870957,116.25354338474658,783.8490592681745,SARIMAX holiday only,Izakaya,Miyagi-ken Sendai-shi Kamisugi,0.22902351717572755,0.21984387691130558,-0.009179640264421973
air_93b9bb641f8fc982,432,39,0.610804378534217,0.610804378534217,57.67711072188637,0.43786981650383755,0.43786981650383755,41.55701771389403,485.8954527777862,SARIMA no exog,0.4373286590417633,0.4373286590417633,41.676769631753814,486.7866137750733,SARIMAX holiday only,Izakaya,Hyōgo-ken Takarazuka-shi Tōyōchō,0.17293456203037944,0.17347571949245366,0.0005411574620742265
air_d00161e19f08290b,437,39,0.6175594090392867,0.6175594090392867,60.359634364969686,0.4331811144645741,0.4331811144645741,44.20690767106375,923.4895014513622,SARIMA no exog,0.43067046542218346,0.43067046542218346,43.40448883208449,925.1381962992866,SARIMAX holiday only,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,0.18437829457471266,0.1868889436171033,0.0025106490423906225
air_54d6c25d33f5260e,438,39,0.8080179604885515,0.8080179604885515,160.69803240957802,0.7362957713784338,0.7362957713784338,122.2103528774672,953.3632880809636,SARIMA no exog,0.6150777152423337,0.6150777152423337,73.56682458628187,887.5359513586252,SARIMAX holiday only,Izakaya,Fukuoka-ken Fukuoka-shi Shiobaru,0.07172218911011763,0.19294024524621778,0.12121805613610015
air_55c3627912b9c849,436,39,0.9343421437709444,0.9343421437709444,157.26115351575217,0.6801288595072974,0.6801288595072974,83.14743899865104,772.5479837268964,SARIMA no exog,0.6765039662802116,0.6765039662802116,83.05539868433513,774.2320151565377,SARIMAX holiday only,Italian/French,Fukuoka-ken Fukuoka-shi Hakata Ekimae,0.254213284263647,0.2578381774907328,0.0036248932270858125
air_4cab15ad29c0ffbc,437,39,0.4570724104733568,0.4570724104733568,45.293026534959836,0.49967921488086714,0.49967921488086714,41.21846765631968,741.4514440760634,SARIMA no exog,0.49794996554496107,0.49794996554496107,41.21974168554659,743.2239105023459,SARIMAX holiday only,Dining bar,Ōsaka-fu Ōsaka-shi Nakanochō,-0.04260680440751036,-0.04087755507160429,0.001729249335906069
